PID,TIMELINE,SCORE
150550616, Timeline 5 (Event Thumbnails),2
150595058, Timeline 5 (Event Thumbnails),2
150599446, Timeline 5 (Event Thumbnails),1
150614757, Timeline 5 (Event Thumbnails),0
150627078, Timeline 5 (Event Thumbnails),1
150630441, Timeline 5 (Event Thumbnails),2
150637363, Timeline 5 (Event Thumbnails),2
150639039, Timeline 5 (Event Thumbnails),2
150716670, Timeline 5 (Event Thumbnails),2
150743242, Timeline 5 (Event Thumbnails),2
150750066, Timeline 5 (Event Thumbnails),1
150825023, Timeline 5 (Event Thumbnails),1
150860818, Timeline 5 (Event Thumbnails),0
150877653, Timeline 5 (Event Thumbnails),1
150879454, Timeline 5 (Event Thumbnails),2
