PID,TIMELINE,VIDEO,SUS
146772938, Timeline 5 (Event Thumbnails), VIRAT_S_0102,67.5
146772938, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,77.5
146772938, Timeline 1 (Base Interface), VIRAT_S_0500,82.5
146771812, Timeline 5 (Event Thumbnails), VIRAT_S_0002,95
146771812, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,95
146771812, Timeline 1 (Base Interface), VIRAT_S_0102,95
146771812, Timeline 3 (Event Blocks), VIRAT_S_0400,95
146771812, Timeline 2 (Density Graph), VIRAT_S_0500,95
146559166, Timeline 3 (Event Blocks), VIRAT_S_0002,50
146559166, Timeline 5 (Event Thumbnails), VIRAT_S_0100,50
146559166, Timeline 2 (Density Graph), VIRAT_S_0102,50
146559166, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,50
146559166, Timeline 1 (Base Interface), VIRAT_S_0500,50
146511990, Timeline 3 (Event Blocks), VIRAT_S_0002,57.5
146511990, Timeline 2 (Density Graph), VIRAT_S_0100,57.5
146511990, Timeline 1 (Base Interface), VIRAT_S_0102,80
146511990, Timeline 5 (Event Thumbnails), VIRAT_S_0400,67.5
146511990, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,75
146490541, Timeline 3 (Event Blocks), VIRAT_S_0002,80
146490541, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,77.5
146490541, Timeline 1 (Base Interface), VIRAT_S_0102,47.5
146490541, Timeline 5 (Event Thumbnails), VIRAT_S_0400,87.5
146490541, Timeline 2 (Density Graph), VIRAT_S_0500,65
146445266, Timeline 3 (Event Blocks), VIRAT_S_0002,72.5
146445266, Timeline 2 (Density Graph), VIRAT_S_0100,72.5
146445266, Timeline 5 (Event Thumbnails), VIRAT_S_0102,70
146445266, Timeline 1 (Base Interface), VIRAT_S_0400,42.5
146445266, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,72.5
146411777, Timeline 1 (Base Interface), VIRAT_S_0002,60
146411777, Timeline 5 (Event Thumbnails), VIRAT_S_0100,75
146411777, Timeline 3 (Event Blocks), VIRAT_S_0102,75
146411777, Timeline 2 (Density Graph), VIRAT_S_0400,70
146411777, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,80
146400674, Timeline 5 (Event Thumbnails), VIRAT_S_0002,90
146400674, Timeline 2 (Density Graph), VIRAT_S_0100,20
146400674, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,72.5
146400674, Timeline 1 (Base Interface), VIRAT_S_0400,60
146400674, Timeline 3 (Event Blocks), VIRAT_S_0500,97.5
146313793, Timeline 3 (Event Blocks), VIRAT_S_0002,42.5
146313793, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,37.5
146313793, Timeline 5 (Event Thumbnails), VIRAT_S_0102,90
146313793, Timeline 2 (Density Graph), VIRAT_S_0400,80
146313793, Timeline 1 (Base Interface), VIRAT_S_0500,40
146284478, Timeline 1 (Base Interface), VIRAT_S_0002,65
146284478, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,75
146284478, Timeline 2 (Density Graph), VIRAT_S_0102,85
146284478, Timeline 3 (Event Blocks), VIRAT_S_0400,77.5
146284478, Timeline 5 (Event Thumbnails), VIRAT_S_0500,75
146273701, Timeline 3 (Event Blocks), VIRAT_S_0002,50
146273701, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,47.5
146273701, Timeline 5 (Event Thumbnails), VIRAT_S_0102,72.5
146273701, Timeline 2 (Density Graph), VIRAT_S_0400,45
146273701, Timeline 1 (Base Interface), VIRAT_S_0500,55
146269551, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,67.5
146269551, Timeline 5 (Event Thumbnails), VIRAT_S_0100,62.5
146269551, Timeline 1 (Base Interface), VIRAT_S_0102,65
146269551, Timeline 2 (Density Graph), VIRAT_S_0400,67.5
